iter	Passed	Remaining
747	52297	17619
748	52360	17546
749	52427	17475
750	52490	17403
751	52565	17335
752	52622	17261
753	52682	17188
754	52740	17114
755	52800	17041
756	52858	16967
757	52923	16896
758	52992	16826
759	53050	16752
760	53112	16680
761	53173	16608
762	53230	16534
763	53283	16459
764	53341	16385
765	53401	16313
766	53456	16239
767	53522	16168
768	53587	16097
769	53641	16022
770	53700	15950
771	53770	15880
772	53835	15809
773	53895	15736
774	53957	15664
775	54022	15594
776	54084	15522
777	54139	15448
778	54202	15377
779	54277	15309
780	54332	15235
781	54395	15164
782	54458	15092
783	54512	15018
784	54569	14945
785	54631	14874
786	54689	14801
787	54750	14729
788	54807	14657
789	54862	14583
790	54924	14512
791	54991	14442
792	55071	14375
793	55134	14304
794	55200	14233
795	55267	14163
796	55334	14093
797	55469	14041
798	55561	13977
799	55650	13912
800	55730	13845
801	55786	13772
802	55844	13700
803	55912	13630
804	55983	13561
805	56041	13488
806	56106	13418
807	56162	13345
808	56236	13277
809	56296	13205
810	56351	13132
811	56411	13060
812	56477	12990
813	56544	12920
814	56632	12855
815	56709	12787
816	56773	12716
817	56830	12644
818	56891	12573
819	56958	12503
820	57021	12432
821	57082	12361
822	57152	12291
823	57213	12220
824	57274	12149
825	57333	12077
826	57393	12006
827	57452	11934
828	57512	11863
829	57571	11791
830	57627	11719
831	57688	11648
832	57748	11577
833	57803	11505
834	57862	11433
835	57927	11363
836	57984	11292
837	58040	11220
838	58095	11148
839	58154	11077
840	58223	11007
841	58282	10936
842	58339	10865
843	58404	10795
844	58467	10724
845	58531	10654
846	58593	10584
847	58655	10513
848	58714	10442
849	58770	10371
850	58831	10300
851	58893	10230
852	58957	10160
853	59021	10090
854	59091	10021
855	59155	9951
856	59219	9881
857	59275	9810
858	59349	9741
859	59419	9673
860	59483	9603
861	59540	9531
862	59595	9460
863	59657	9390
864	59718	9320
865	59782	9250
866	59837	9179
867	59927	9113
868	59986	9042
869	60043	8972
870	60095	8900
871	60163	8831
872	60225	8761
873	60282	8690
874	60339	8619
875	60407	8550
876	60467	8480
877	60520	8409
878	60596	8341
879	60686	8275
880	60742	8204
881	60797	8133
882	60860	8064
883	60934	7995
884	60996	7926
885	61054	7855
886	61116	7785
887	61176	7715
888	61240	7646
889	61302	7576
890	61365	7507
891	61432	7438
892	61492	7368
893	61554	7298
894	61620	7229
895	61696	7161
896	61758	7091
897	61820	7021
898	61886	6952
899	61962	6884
900	62017	6814
901	62072	6744
902	62141	6675
903	62203	6605
904	62271	6536
905	62332	6467
906	62390	6397
907	62453	6327
908	62515	6258
909	62570	6188
910	62648	6120
911	62705	6050
912	62770	5981
913	62829	5911
914	62936	5846
915	62995	5776
916	63060	5707
917	63120	5638
918	63181	5568
919	63242	5499
920	63311	5430
921	63370	5361
922	63435	5292
923	63498	5222
924	63556	5153
925	63620	5084
926	63681	5014
927	63744	4945
928	63813	4877
929	63872	4807
930	63943	4739
931	64007	4670
932	64063	4600
933	64131	4531
934	64191	4462
935	64250	4393
936	64307	4323
937	64367	4254
938	64428	4185
939	64488	4116
940	64548	4047
941	64606	3977
942	64674	3909
943	64734	3840
944	64792	3771
945	64854	3702
946	64922	3633
947	64981	3564
948	65042	3495
949	65102	3426
950	65167	3357
951	65229	3288
952	65291	3220
953	65351	3151
954	65408	3082
955	65468	3013
956	65534	2944
957	65617	2876
958	65692	2808
959	65751	2739
960	65803	2670
961	65868	2601
962	65929	2533
963	65991	2464
964	66049	2395
965	66106	2326
966	66167	2258
967	66230	2189
968	66290	2120
969	66352	2052
970	66411	1983
971	66473	1914
972	66533	1846
973	66598	1777
974	66662	1709
975	66724	1640
976	66782	1572
977	66839	1503
978	66903	1435
979	66961	1366
980	67021	1298
981	67077	1229
982	67134	1161
983	67195	1092
984	67255	1024
985	67321	955
986	67393	887
987	67451	819
988	67503	750
989	67565	682
990	67626	614
991	67684	545
992	67741	477
993	67799	409
994	67859	341
995	67920	272
996	67978	204
997	68038	136
998	68095	68
999	68151	0
